"company_name","job_title","salary_year_avg","skill_name"
"AT&T","Associate Director- Data Insights","255829.5","sql"
"AT&T","Associate Director- Data Insights","255829.5","python"
"AT&T","Associate Director- Data Insights","255829.5","r"
"AT&T","Associate Director- Data Insights","255829.5","azure"
"AT&T","Associate Director- Data Insights","255829.5","databricks"
"AT&T","Associate Director- Data Insights","255829.5","aws"
"AT&T","Associate Director- Data Insights","255829.5","pandas"
"AT&T","Associate Director- Data Insights","255829.5","pyspark"
"AT&T","Associate Director- Data Insights","255829.5","jupyter"
"AT&T","Associate Director- Data Insights","255829.5","excel"
"AT&T","Associate Director- Data Insights","255829.5","tableau"
"AT&T","Associate Director- Data Insights","255829.5","power bi"
"AT&T","Associate Director- Data Insights","255829.5","powerpoint"
"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","sql"
"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","python"
"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","r"
"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","hadoop"
"Pinterest Job Advertisements","Data Analyst, Marketing","232423.0","tableau"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","sql"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","crystal"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","oracle"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","tableau"
"Uclahealthcareers","Data Analyst (Hybrid/Remote)","217000.0","flow"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","sql"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","python"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","go"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","snowflake"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","pandas"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","numpy"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","excel"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","tableau"
"SmartAsset","Principal Data Analyst (Remote)","205000.0","gitlab"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","sql"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","python"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","azure"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","aws"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","oracle"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","snowflake"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","tableau"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","power bi"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","sap"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","jenkins"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","bitbucket"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","atlassian"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","jira"
"Inclusively","Director, Data Analyst - HYBRID","189309.0","confluence"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","sql"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","python"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","r"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","git"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","bitbucket"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","atlassian"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","jira"
"Motional","Principal Data Analyst, AV Performance Analysis","189000.0","confluence"
"SmartAsset","Principal Data Analyst","186000.0","sql"
"SmartAsset","Principal Data Analyst","186000.0","python"
"SmartAsset","Principal Data Analyst","186000.0","go"
"SmartAsset","Principal Data Analyst","186000.0","snowflake"
"SmartAsset","Principal Data Analyst","186000.0","pandas"
"SmartAsset","Principal Data Analyst","186000.0","numpy"
"SmartAsset","Principal Data Analyst","186000.0","excel"
"SmartAsset","Principal Data Analyst","186000.0","tableau"
"SmartAsset","Principal Data Analyst","186000.0","gitlab"
"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","sql"
"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","python"
"Get It Recruit - Information Technology","ERM Data Analyst","184000.0","r"
